,medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_borough,dropoff_borough,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
0,89D227B655E5C82AECF13C3F540D4CF4,BA96DE419E711691B9445D6A6307C170,CMT,1,N,2013-01-01 15:11:48,2013-01-01 15:18:10,4,382,1.0,-73.978165,40.757977,-73.989838,40.751171,manhattan,manhattan,CSH,6.5,0.0,0.5,0.0,0.0,7.0
24,E9BA494DC1A1F26D186394EFBB8327CF,BBF604B3A2426BFBAAC982AAAA0BF1B5,CMT,1,N,2013-01-01 18:36:53,2013-01-01 18:39:04,1,131,0.5,-73.992172,40.749954,-73.99675,40.744553,manhattan,manhattan,CSH,4.0,0.0,0.5,0.0,0.0,4.5
28,8E189DABE265CC03FEF4BFC695B32559,906939B31C0B93768242A58A682412B8,CMT,1,N,2013-01-01 14:02:01,2013-01-01 14:27:39,2,1537,10.2,-73.862709,40.769142,-73.982079,40.762295,manhattan,manhattan,CSH,31.0,0.0,0.5,0.0,4.8,36.3
36,1F03ADDC384F4C5FB5E760528D4E0BA5,6607D2680127BFBCFF94193B15578DE7,CMT,1,N,2013-01-01 18:45:02,2013-01-01 18:48:48,1,225,1.2,-73.982384,40.752102,-73.993332,40.736393,manhattan,manhattan,CSH,5.5,0.0,0.5,0.0,0.0,6.0
78,5C1E310A26EEE17AA72AFE63194DE5B5,A56B275487B0D09E6BA4C8801E0B2BE3,CMT,1,N,2013-01-01 17:11:51,2013-01-01 17:17:18,3,327,1.4,-73.98793,40.749542,-73.978981,40.766735,manhattan,manhattan,CSH,6.5,0.0,0.5,0.0,0.0,7.0
90,02BFD1B64C2C80B433D3A282C828912B,375201058CFE70CE40B69903041C2310,CMT,1,N,2013-01-01 19:41:43,2013-01-01 19:49:17,2,453,2.1,-73.984734,40.76931,-73.997787,40.744205,manhattan,manhattan,CSH,8.5,0.0,0.5,0.0,0.0,9.0
102,0A3EF18FFD7FA5327C66C6B1CE068F3A,E8BD33FAF31C98E52D1E45A60216113B,CMT,1,N,2013-01-01 23:26:42,2013-01-01 23:49:24,2,1361,18.9,-73.783318,40.648636,-73.964249,40.719543,queens,brooklyn,CSH,50.5,0.5,0.5,0.0,0.0,51.5
110,1ABD0BB8B7278A49B4F6502B59E1CEFB,AE49AF37C8856F2EA32953F207A9C339,CMT,1,N,2013-01-01 23:33:10,2013-01-01 23:36:18,2,188,0.8,-73.983711,40.756092,-73.98494,40.748222,manhattan,manhattan,CSH,5.0,0.5,0.5,0.0,0.0,6.0
146,E9BA494DC1A1F26D186394EFBB8327CF,BBF604B3A2426BFBAAC982AAAA0BF1B5,CMT,1,N,2013-01-01 16:46:15,2013-01-01 16:56:03,1,587,2.8,-73.959908,40.806396,-73.983292,40.775673,manhattan,manhattan,CSH,11.0,0.0,0.5,0.0,0.0,11.5
150,333D72A3E9C09AD9EFBF79F549EFA67B,ED57BB723A58FFF10DCA8AC08AC1B103,CMT,1,N,2013-01-01 16:06:51,2013-01-01 16:22:18,2,927,1.8,-73.989059,40.750572,-73.973686,40.755997,manhattan,manhattan,CSH,11.0,0.0,0.5,0.0,0.0,11.5
151,333D72A3E9C09AD9EFBF79F549EFA67B,ED57BB723A58FFF10DCA8AC08AC1B103,CMT,1,N,2013-01-01 09:19:27,2013-01-01 09:21:52,1,145,0.5,-73.954796,40.59893,-73.950531,40.604225,brooklyn,brooklyn,CSH,4.0,0.0,0.5,0.0,0.0,4.5
